employee_id,employee_name,department,level,region,hire_date,salary,performance_score,manager_id,is_active
EMP-00085,Employee 0085,IT,Director,Europe,2023-05-06 00:00:00+00:00,155620,84.73,EMP-00001,1
EMP-00086,Employee 0086,Marketing,Director,Middle East & Africa,2023-09-30 00:00:00+00:00,215744,68.3,EMP-00011,1
EMP-00087,Employee 0087,Marketing,Junior,North America,2024-09-10 00:00:00+00:00,95810,74.44,EMP-00004,1
EMP-00088,Employee 0088,Customer Success,Director,Middle East & Africa,2024-05-26 00:00:00+00:00,69242,80.87,EMP-00012,1
EMP-00089,Employee 0089,Customer Success,Senior,Asia Pacific,2025-09-22 00:00:00+00:00,60908,83.23,EMP-00008,1
EMP-00090,Employee 0090,Marketing,Mid,Europe,2023-01-04 00:00:00+00:00,52628,62.71,EMP-00013,1
EMP-00091,Employee 0091,IT,Mid,Latin America,2023-09-24 00:00:00+00:00,173881,67.1,EMP-00006,1
EMP-00092,Employee 0092,IT,Senior,Middle East & Africa,2025-01-12 00:00:00+00:00,130043,83.5,EMP-00004,1
EMP-00093,Employee 0093,Operations,Junior,North America,2023-06-05 00:00:00+00:00,130755,71.65,EMP-00002,1
EMP-00094,Employee 0094,Finance,Senior,Asia Pacific,2023-06-10 00:00:00+00:00,215639,58.44,EMP-00015,1
EMP-00095,Employee 0095,Executive,Lead,Latin America,2023-09-16 00:00:00+00:00,294541,69.29,EMP-00013,1
EMP-00096,Employee 0096,Marketing,Senior,Asia Pacific,2025-09-25 00:00:00+00:00,299729,77.86,EMP-00010,1
EMP-00097,Employee 0097,Sales,Lead,Europe,2024-04-30 00:00:00+00:00,207707,59.97,EMP-00013,1
EMP-00098,Employee 0098,Sales,Senior,Europe,2023-10-20 00:00:00+00:00,155229,95.98,EMP-00012,1
EMP-00099,Employee 0099,Marketing,Senior,Asia Pacific,2025-04-20 00:00:00+00:00,161094,91.07,EMP-00001,1
EMP-00100,Employee 0100,Customer Success,Mid,Latin America,2024-10-27 00:00:00+00:00,218493,88.08,EMP-00014,1
EMP-00101,Employee 0101,Supply Chain,Senior,Asia Pacific,2023-09-30 00:00:00+00:00,295136,79.0,EMP-00015,1
EMP-00102,Employee 0102,Operations,VP,Asia Pacific,2025-08-17 00:00:00+00:00,193142,64.41,EMP-00013,1
EMP-00103,Employee 0103,Marketing,Junior,Europe,2025-09-17 00:00:00+00:00,157450,68.77,EMP-00010,1
EMP-00104,Employee 0104,Operations,Junior,Middle East & Africa,2025-01-26 00:00:00+00:00,112193,92.55,EMP-00009,1
EMP-00105,Employee 0105,Customer Success,Senior,Asia Pacific,2024-01-22 00:00:00+00:00,73799,69.27,EMP-00007,1
EMP-00106,Employee 0106,Finance,VP,Middle East & Africa,2023-12-16 00:00:00+00:00,133315,77.64,EMP-00008,1
EMP-00107,Employee 0107,Customer Success,Mid,Europe,2023-10-17 00:00:00+00:00,265323,74.81,EMP-00004,1
EMP-00108,Employee 0108,Sales,Mid,Latin America,2025-07-09 00:00:00+00:00,149502,76.28,EMP-00009,1
EMP-00109,Employee 0109,Executive,Director,Asia Pacific,2023-03-20 00:00:00+00:00,276938,76.62,EMP-00005,0
EMP-00110,Employee 0110,Operations,Mid,North America,2023-08-01 00:00:00+00:00,255959,75.37,EMP-00014,1
EMP-00111,Employee 0111,Operations,Mid,North America,2023-06-24 00:00:00+00:00,261915,73.03,EMP-00001,1
EMP-00112,Employee 0112,Marketing,Mid,North America,2024-09-26 00:00:00+00:00,229845,74.49,EMP-00001,0
EMP-00113,Employee 0113,IT,Senior,Asia Pacific,2023-04-05 00:00:00+00:00,55060,75.7,EMP-00013,1
EMP-00114,Employee 0114,Finance,Junior,Asia Pacific,2025-01-15 00:00:00+00:00,177048,67.61,EMP-00006,1
EMP-00115,Employee 0115,Executive,Mid,Latin America,2023-05-19 00:00:00+00:00,243488,62.59,EMP-00009,1
EMP-00116,Employee 0116,Finance,Senior,North America,2023-12-23 00:00:00+00:00,317643,73.93,EMP-00005,1
EMP-00117,Employee 0117,Customer Success,Junior,North America,2023-07-05 00:00:00+00:00,254364,68.37,EMP-00004,1
EMP-00118,Employee 0118,IT,Mid,Latin America,2025-04-11 00:00:00+00:00,129183,77.27,EMP-00007,0
EMP-00119,Employee 0119,Marketing,Mid,Asia Pacific,2024-10-02 00:00:00+00:00,204238,66.26,EMP-00002,1
EMP-00120,Employee 0120,Finance,Junior,North America,2024-04-17 00:00:00+00:00,247423,57.18,EMP-00010,1
EMP-00121,Employee 0121,Customer Success,Director,Asia Pacific,2025-07-25 00:00:00+00:00,278392,94.0,EMP-00002,1
EMP-00122,Employee 0122,Finance,Mid,Europe,2025-05-11 00:00:00+00:00,78090,71.04,EMP-00012,1
EMP-00123,Employee 0123,IT,Mid,Europe,2024-07-25 00:00:00+00:00,300269,53.54,EMP-00006,1
EMP-00124,Employee 0124,Sales,Senior,North America,2023-08-03 00:00:00+00:00,170855,86.18,EMP-00001,1
EMP-00125,Employee 0125,IT,Junior,North America,2023-04-24 00:00:00+00:00,292382,72.59,EMP-00007,0
EMP-00126,Employee 0126,Marketing,Senior,Middle East & Africa,2025-06-14 00:00:00+00:00,259663,77.25,EMP-00007,1
EMP-00127,Employee 0127,Supply Chain,Mid,Middle East & Africa,2024-12-09 00:00:00+00:00,190579,79.29,EMP-00001,1
EMP-00128,Employee 0128,Customer Success,Senior,Asia Pacific,2024-06-17 00:00:00+00:00,178057,88.12,EMP-00005,1
EMP-00129,Employee 0129,Operations,Junior,North America,2023-04-04 00:00:00+00:00,123265,80.36,EMP-00005,1
EMP-00130,Employee 0130,Customer Success,Lead,Europe,2024-03-04 00:00:00+00:00,207344,61.59,EMP-00012,1
EMP-00131,Employee 0131,Sales,Lead,Europe,2025-08-14 00:00:00+00:00,128146,63.84,EMP-00012,1
EMP-00132,Employee 0132,Finance,VP,Europe,2023-08-24 00:00:00+00:00,177958,61.19,EMP-00005,0
EMP-00133,Employee 0133,Customer Success,Director,North America,2023-11-06 00:00:00+00:00,112337,71.52,EMP-00014,1
EMP-00134,Employee 0134,Executive,Senior,North America,2023-04-14 00:00:00+00:00,109397,81.28,EMP-00004,1
EMP-00135,Employee 0135,Supply Chain,Junior,Middle East & Africa,2023-11-02 00:00:00+00:00,295003,68.06,EMP-00008,1
EMP-00136,Employee 0136,Executive,Junior,Middle East & Africa,2023-10-19 00:00:00+00:00,284948,69.54,EMP-00003,1
EMP-00137,Employee 0137,Sales,Junior,North America,2025-02-17 00:00:00+00:00,204366,69.08,EMP-00003,1
EMP-00138,Employee 0138,Executive,Lead,Europe,2024-02-02 00:00:00+00:00,228560,70.57,EMP-00008,1
EMP-00139,Employee 0139,Customer Success,Lead,North America,2024-11-21 00:00:00+00:00,48336,84.49,EMP-00004,1
EMP-00140,Employee 0140,Executive,Mid,North America,2024-08-22 00:00:00+00:00,250157,73.88,EMP-00001,1
EMP-00141,Employee 0141,Customer Success,Mid,Latin America,2023-10-13 00:00:00+00:00,309418,89.26,EMP-00015,1
EMP-00142,Employee 0142,Supply Chain,Junior,Europe,2024-12-24 00:00:00+00:00,306159,71.25,EMP-00011,1
EMP-00143,Employee 0143,Marketing,VP,Asia Pacific,2025-05-07 00:00:00+00:00,62277,77.45,EMP-00011,1
EMP-00144,Employee 0144,Executive,Mid,Europe,2023-02-12 00:00:00+00:00,236335,75.01,EMP-00014,1
EMP-00145,Employee 0145,Supply Chain,Lead,Latin America,2024-12-06 00:00:00+00:00,177530,80.33,EMP-00011,1
EMP-00146,Employee 0146,Sales,Lead,Asia Pacific,2025-08-09 00:00:00+00:00,65672,83.06,EMP-00003,1
EMP-00147,Employee 0147,IT,Lead,North America,2024-07-18 00:00:00+00:00,262576,77.51,EMP-00014,1
EMP-00148,Employee 0148,Marketing,Senior,Middle East & Africa,2023-09-06 00:00:00+00:00,219193,99.0,EMP-00008,1
EMP-00149,Employee 0149,Sales,Mid,Europe,2023-04-01 00:00:00+00:00,118904,94.06,EMP-00013,1
EMP-00150,Employee 0150,Executive,Mid,Latin America,2024-11-09 00:00:00+00:00,185377,71.35,EMP-00014,1
EMP-00151,Employee 0151,Sales,Director,Latin America,2023-04-15 00:00:00+00:00,143569,92.17,EMP-00001,1
EMP-00152,Employee 0152,Marketing,Senior,Europe,2025-03-17 00:00:00+00:00,108251,90.98,EMP-00013,1
EMP-00153,Employee 0153,Executive,Senior,Europe,2025-03-07 00:00:00+00:00,164335,63.21,EMP-00002,1
EMP-00154,Employee 0154,Operations,Senior,Europe,2024-02-22 00:00:00+00:00,209369,54.41,EMP-00012,1
EMP-00155,Employee 0155,IT,Mid,Middle East & Africa,2024-09-05 00:00:00+00:00,61862,80.06,EMP-00010,1
EMP-00156,Employee 0156,IT,Senior,Asia Pacific,2024-03-13 00:00:00+00:00,231066,76.24,EMP-00003,1
EMP-00157,Employee 0157,Sales,Lead,Latin America,2025-02-07 00:00:00+00:00,181680,50.43,EMP-00014,1
EMP-00158,Employee 0158,Marketing,Mid,North America,2023-02-17 00:00:00+00:00,200087,79.11,EMP-00007,1
EMP-00159,Employee 0159,Marketing,Junior,North America,2024-05-30 00:00:00+00:00,87394,78.22,EMP-00006,1
EMP-00160,Employee 0160,Operations,Junior,Europe,2024-02-13 00:00:00+00:00,89677,71.02,EMP-00015,1
EMP-00161,Employee 0161,Executive,Director,North America,2024-04-01 00:00:00+00:00,194768,95.07,EMP-00009,1
EMP-00162,Employee 0162,Operations,Senior,Europe,2025-07-26 00:00:00+00:00,220733,75.25,EMP-00004,1
EMP-00163,Employee 0163,Marketing,Senior,Europe,2024-05-19 00:00:00+00:00,220219,73.37,EMP-00013,0
EMP-00164,Employee 0164,Customer Success,Junior,North America,2024-01-05 00:00:00+00:00,54753,77.72,EMP-00003,1
EMP-00165,Employee 0165,Operations,Mid,Middle East & Africa,2024-11-26 00:00:00+00:00,176836,62.72,EMP-00010,1
EMP-00166,Employee 0166,IT,Junior,Europe,2025-06-16 00:00:00+00:00,91365,67.64,EMP-00007,1
EMP-00167,Employee 0167,Sales,Senior,North America,2025-03-20 00:00:00+00:00,197103,46.72,EMP-00013,1
EMP-00168,Employee 0168,Marketing,Mid,Asia Pacific,2024-12-01 00:00:00+00:00,265113,81.96,EMP-00003,1
EMP-00169,Employee 0169,Customer Success,VP,Latin America,2025-07-03 00:00:00+00:00,308977,87.79,EMP-00009,1
EMP-00170,Employee 0170,Sales,Senior,Middle East & Africa,2025-06-03 00:00:00+00:00,181237,80.82,EMP-00008,1
EMP-00171,Employee 0171,Operations,Junior,Europe,2023-07-30 00:00:00+00:00,182876,79.96,EMP-00008,1
EMP-00172,Employee 0172,Executive,Mid,Latin America,2023-07-15 00:00:00+00:00,208633,76.71,EMP-00010,1
EMP-00173,Employee 0173,Operations,Junior,North America,2024-04-02 00:00:00+00:00,62692,94.21,EMP-00006,1
EMP-00174,Employee 0174,Customer Success,Mid,North America,2024-10-30 00:00:00+00:00,140262,75.96,EMP-00006,1
EMP-00175,Employee 0175,IT,VP,Latin America,2025-07-22 00:00:00+00:00,133427,87.42,EMP-00005,1
EMP-00176,Employee 0176,Executive,VP,Asia Pacific,2023-04-10 00:00:00+00:00,201975,86.3,EMP-00004,1
EMP-00177,Employee 0177,Finance,Mid,North America,2025-05-26 00:00:00+00:00,90458,62.4,EMP-00015,1
EMP-00178,Employee 0178,Finance,Mid,Europe,2024-05-02 00:00:00+00:00,58303,84.75,EMP-00007,1
EMP-00179,Employee 0179,IT,Mid,Europe,2024-10-05 00:00:00+00:00,140704,65.26,EMP-00006,1
EMP-00180,Employee 0180,Supply Chain,Senior,North America,2024-12-25 00:00:00+00:00,54494,71.35,EMP-00012,1
EMP-00181,Employee 0181,Supply Chain,Mid,Europe,2023-08-02 00:00:00+00:00,239603,75.54,EMP-00002,1
EMP-00182,Employee 0182,Supply Chain,Mid,Asia Pacific,2023-06-11 00:00:00+00:00,293856,91.31,EMP-00013,1
EMP-00183,Employee 0183,Sales,Junior,North America,2023-12-11 00:00:00+00:00,234372,69.65,EMP-00001,1
EMP-00184,Employee 0184,Sales,Mid,North America,2025-08-16 00:00:00+00:00,125880,81.17,EMP-00001,1
EMP-00185,Employee 0185,Finance,Mid,Asia Pacific,2024-12-29 00:00:00+00:00,240163,60.37,EMP-00004,1
EMP-00186,Employee 0186,Customer Success,Mid,Latin America,2024-04-14 00:00:00+00:00,266579,75.48,EMP-00001,1
EMP-00187,Employee 0187,Finance,Senior,Latin America,2025-01-27 00:00:00+00:00,291098,72.28,EMP-00008,1
EMP-00188,Employee 0188,Supply Chain,Junior,Europe,2024-03-23 00:00:00+00:00,188434,91.41,EMP-00014,1
EMP-00189,Employee 0189,Customer Success,Mid,North America,2023-04-02 00:00:00+00:00,157623,69.29,EMP-00003,1
EMP-00190,Employee 0190,Customer Success,Lead,Europe,2025-06-04 00:00:00+00:00,68471,60.35,EMP-00004,1
EMP-00191,Employee 0191,Finance,Senior,Asia Pacific,2025-04-09 00:00:00+00:00,172605,72.8,EMP-00002,1
EMP-00192,Employee 0192,Marketing,Director,Asia Pacific,2025-05-10 00:00:00+00:00,65065,70.78,EMP-00007,0
EMP-00193,Employee 0193,Finance,Mid,Middle East & Africa,2024-09-08 00:00:00+00:00,151905,80.25,EMP-00007,1
EMP-00194,Employee 0194,Marketing,Junior,Asia Pacific,2025-07-05 00:00:00+00:00,64872,92.1,EMP-00002,1
EMP-00195,Employee 0195,Customer Success,Senior,Latin America,2025-08-14 00:00:00+00:00,150218,73.89,EMP-00015,1
EMP-00196,Employee 0196,Operations,Mid,Middle East & Africa,2024-10-31 00:00:00+00:00,184657,81.62,EMP-00006,1
EMP-00197,Employee 0197,Supply Chain,Junior,Asia Pacific,2025-02-05 00:00:00+00:00,139935,76.51,EMP-00004,1
EMP-00198,Employee 0198,Finance,Junior,North America,2024-10-23 00:00:00+00:00,138749,83.11,EMP-00012,0
EMP-00199,Employee 0199,Customer Success,Senior,Europe,2024-01-06 00:00:00+00:00,248646,66.86,EMP-00010,1
EMP-00200,Employee 0200,Sales,Mid,Middle East & Africa,2023-08-18 00:00:00+00:00,314008,77.37,EMP-00001,1
EMP-00201,Employee 0201,Operations,Mid,Europe,2024-10-05 00:00:00+00:00,118877,88.01,EMP-00015,1
EMP-00202,Employee 0202,Supply Chain,Mid,Europe,2025-01-12 00:00:00+00:00,77241,69.24,EMP-00007,1
EMP-00203,Employee 0203,Customer Success,Lead,Europe,2025-02-03 00:00:00+00:00,57520,75.71,EMP-00013,1
EMP-00204,Employee 0204,Operations,Mid,Middle East & Africa,2024-09-13 00:00:00+00:00,155920,76.86,EMP-00010,1
EMP-00205,Employee 0205,Marketing,Senior,North America,2024-12-02 00:00:00+00:00,182953,61.3,EMP-00012,1
EMP-00206,Employee 0206,Customer Success,VP,North America,2023-12-10 00:00:00+00:00,51786,85.55,EMP-00005,1
EMP-00207,Employee 0207,Supply Chain,Junior,Latin America,2023-01-18 00:00:00+00:00,183776,71.34,EMP-00004,1
EMP-00208,Employee 0208,Finance,Senior,Middle East & Africa,2025-08-24 00:00:00+00:00,214964,77.1,EMP-00013,1
EMP-00209,Employee 0209,Customer Success,Senior,Latin America,2023-06-21 00:00:00+00:00,174038,84.37,EMP-00013,1
EMP-00210,Employee 0210,IT,Mid,Middle East & Africa,2024-05-01 00:00:00+00:00,73702,85.48,EMP-00001,1
EMP-00211,Employee 0211,Marketing,Lead,Asia Pacific,2025-06-26 00:00:00+00:00,171247,64.54,EMP-00002,1
EMP-00212,Employee 0212,Customer Success,Senior,Europe,2024-12-24 00:00:00+00:00,233160,82.17,EMP-00007,0
EMP-00213,Employee 0213,Marketing,Senior,North America,2025-07-07 00:00:00+00:00,181586,88.44,EMP-00005,1
EMP-00214,Employee 0214,IT,Junior,Europe,2024-10-27 00:00:00+00:00,243509,70.4,EMP-00013,1
EMP-00215,Employee 0215,Finance,Senior,Middle East & Africa,2023-01-03 00:00:00+00:00,306034,86.36,EMP-00009,1
EMP-00216,Employee 0216,IT,Junior,Latin America,2023-01-11 00:00:00+00:00,316208,82.17,EMP-00002,1
EMP-00217,Employee 0217,Marketing,Junior,Middle East & Africa,2025-03-10 00:00:00+00:00,115836,83.06,EMP-00007,0
EMP-00218,Employee 0218,Marketing,Mid,North America,2024-04-01 00:00:00+00:00,108156,87.14,EMP-00003,1
EMP-00219,Employee 0219,IT,Junior,Europe,2024-06-11 00:00:00+00:00,97235,67.93,EMP-00011,1
EMP-00220,Employee 0220,Executive,Junior,Europe,2024-08-29 00:00:00+00:00,226567,67.28,EMP-00010,0
EMP-00221,Employee 0221,IT,VP,Latin America,2024-07-06 00:00:00+00:00,210352,90.46,EMP-00009,1
EMP-00222,Employee 0222,IT,Lead,Middle East & Africa,2025-09-26 00:00:00+00:00,131171,74.31,EMP-00005,1
EMP-00223,Employee 0223,Executive,Mid,Latin America,2023-02-08 00:00:00+00:00,91084,61.78,EMP-00010,1
EMP-00224,Employee 0224,Customer Success,Junior,Latin America,2023-06-04 00:00:00+00:00,130805,76.02,EMP-00004,1
EMP-00225,Employee 0225,Operations,Mid,Middle East & Africa,2023-03-29 00:00:00+00:00,89870,76.64,EMP-00005,1
EMP-00226,Employee 0226,Sales,Junior,Latin America,2024-11-12 00:00:00+00:00,281000,80.53,EMP-00008,1
EMP-00227,Employee 0227,Sales,Mid,Europe,2024-06-03 00:00:00+00:00,179656,73.6,EMP-00003,1
EMP-00228,Employee 0228,Executive,Senior,Middle East & Africa,2024-03-12 00:00:00+00:00,290192,96.96,EMP-00010,0
EMP-00229,Employee 0229,Supply Chain,Mid,Middle East & Africa,2025-06-13 00:00:00+00:00,290463,67.99,EMP-00014,1
