employee_id,employee_name,hire_date,salary,performance_score,manager_id,is_active,hire_year,hire_month,hire_quarter,hire_dayofweek,hire_day,hire_is_month_start,hire_is_month_end,tenure_days,salary_performance_ratio,department_frequency,level_frequency,region_frequency,department_Customer Success,department_Executive,department_Finance,department_IT,department_Marketing,department_Operations,department_Sales,department_Supply Chain,level_Director,level_Junior,level_Lead,level_Mid,level_Senior,level_VP,region_Asia Pacific,region_Europe,region_Latin America,region_Middle East & Africa,region_North America,salary_robust_scaled,performance_score_robust_scaled,tenure_days_robust_scaled
EMP-00018,Employee 0018,2024-01-29 00:00:00+00:00,206259,91.73,EMP-00010,1,2024,1,1,0,29,0,0,919,2248.544641883789,0.11428571428571428,0.15,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15099083637944247,0.9844236760124605,0.19176706827309237
EMP-00019,Employee 0019,2023-03-22 00:00:00+00:00,209924,86.82,EMP-00009,1,2023,3,1,2,22,0,0,1232,2417.9221377562776,0.11428571428571428,0.30238095238095236,0.19285714285714287,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1784573416694614,0.6445136725510545,0.820281124497992
EMP-00020,Employee 0020,2023-10-14 00:00:00+00:00,71112,91.9,EMP-00004,1,2023,10,4,5,14,0,0,1026,773.7976060935799,0.11428571428571428,0.15,0.1738095238095238,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8618374829739518,0.9961924541363789,0.4066265060240964
EMP-00021,Employee 0021,2023-03-10 00:00:00+00:00,83664,78.92,EMP-00012,1,2023,3,1,4,10,0,0,1244,1060.1115053218448,0.10952380952380952,0.07857142857142857,0.1976190476190476,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7677693862753657,0.0976116303219104,0.8443775100401606
EMP-00022,Employee 0022,2024-02-05 00:00:00+00:00,266274,84.7,EMP-00004,1,2024,2,1,0,5,0,0,912,3143.7308146399055,0.12142857142857143,0.15,0.1738095238095238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6007595444232315,0.49775008653513286,0.17771084337349397
EMP-00023,Employee 0023,2023-03-28 00:00:00+00:00,306676,85.31,EMP-00007,1,2023,3,1,1,28,0,0,1226,3594.842339702262,0.11428571428571428,0.20238095238095238,0.1976190476190476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9035431042396967,0.5399792315680162,0.8082329317269076
EMP-00024,Employee 0024,2024-02-11 00:00:00+00:00,274123,93.87,EMP-00012,1,2024,2,1,6,11,0,0,906,2920.240758495792,0.1357142857142857,0.30238095238095236,0.20714285714285716,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6595820819461125,1.1325718241606086,0.16566265060240964
EMP-00025,Employee 0025,2023-03-25 00:00:00+00:00,240645,52.93,EMP-00014,1,2023,3,1,5,25,0,0,1229,4546.476478367656,0.1357142857142857,0.07857142857142857,0.1976190476190476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.40868885845381936,-1.7016268605053646,0.8142570281124498
EMP-00026,Employee 0026,2023-12-17 00:00:00+00:00,291101,79.35,EMP-00001,1,2023,12,4,6,17,0,0,962,3668.569628229364,0.11428571428571428,0.2261904761904762,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.786819824596574,0.12737971616476207,0.2781124497991968
EMP-00027,Employee 0027,2023-11-26 00:00:00+00:00,192217,88.49,EMP-00013,1,2023,11,4,6,26,0,0,983,2172.188947903718,0.1357142857142857,0.15,0.20714285714285716,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04575627504726075,0.7601246105918992,0.32028112449799195
EMP-00028,Employee 0028,2024-05-28 00:00:00+00:00,75652,90.94,EMP-00011,1,2024,5,2,1,28,0,0,799,831.8891576863866,0.10952380952380952,0.30238095238095236,0.20714285714285716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8278134900635327,0.9297334717895456,-0.04919678714859438
EMP-00029,Employee 0029,2024-02-28 00:00:00+00:00,122169,73.02,EMP-00003,1,2024,2,1,2,28,0,0,889,1673.089564502876,0.10952380952380952,0.30238095238095236,0.22857142857142856,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.479202459619928,-0.31083419868466644,0.13152610441767068
EMP-00030,Employee 0030,2025-07-24 00:00:00+00:00,312424,82.29,EMP-00002,1,2025,7,3,3,24,0,0,377,3796.6217037307083,0.11428571428571428,0.30238095238095236,0.22857142857142856,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9466201772020512,0.33091034960193827,-0.8965863453815262
EMP-00031,Employee 0031,2025-06-15 00:00:00+00:00,282173,86.09,EMP-00003,1,2025,6,2,6,15,0,0,416,3277.6512951562318,0.11428571428571428,0.15,0.20714285714285716,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7199109680537938,0.5939771547248178,-0.8182730923694779
EMP-00032,Employee 0032,2024-06-06 00:00:00+00:00,167000,91.8,EMP-00002,1,2024,6,2,3,6,0,0,790,1819.1721132897603,0.1380952380952381,0.20238095238095238,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1432267710368887,0.9892696434752499,-0.06726907630522089
EMP-00033,Employee 0033,2023-02-08 00:00:00+00:00,72084,81.91,EMP-00005,1,2023,2,1,2,8,0,0,1274,880.0390672689538,0.13095238095238096,0.30238095238095236,0.19285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.854553051011633,0.30460366908964964,0.9046184738955824
EMP-00034,Employee 0034,2025-03-31 00:00:00+00:00,107253,80.83,EMP-00004,1,2025,3,1,0,31,0,1,492,1326.8959544723493,0.1380952380952381,0.15,0.20714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5909870143009437,0.22983731394946288,-0.6656626506024096
EMP-00035,Employee 0035,2024-11-05 00:00:00+00:00,260614,75.02,EMP-00002,1,2024,11,4,1,5,0,0,638,3473.9269528125833,0.1357142857142857,0.15,0.22857142857142856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5583419673587002,-0.17237798546209815,-0.37248995983935745
EMP-00036,Employee 0036,2025-02-18 00:00:00+00:00,241328,90.33,EMP-00006,1,2025,2,1,1,18,0,0,533,2671.62625927156,0.13095238095238096,0.15,0.1976190476190476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4138074459335146,0.8875043267566622,-0.5833333333333334
EMP-00037,Employee 0037,2025-06-19 00:00:00+00:00,279981,91.68,EMP-00013,1,2025,6,2,3,19,0,0,412,3053.8939790575914,0.11428571428571428,0.20238095238095238,0.1976190476190476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7034835247807457,0.9809622706818965,-0.8263052208835341
EMP-00038,Employee 0038,2024-02-22 00:00:00+00:00,258666,89.48,EMP-00015,1,2024,2,1,3,22,0,0,895,2890.768886902101,0.12142857142857143,0.2261904761904762,0.19285714285714287,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5437431263477979,0.8286604361370712,0.14357429718875503
EMP-00039,Employee 0039,2024-04-29 00:00:00+00:00,259522,86.16,EMP-00013,1,2024,4,2,0,29,0,0,828,3012.0937790157845,0.1357142857142857,0.30238095238095236,0.19285714285714287,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5501582228084408,0.5988231221876072,0.009036144578313253
EMP-00040,Employee 0040,2023-08-28 00:00:00+00:00,48148,80.7,EMP-00007,1,2023,8,3,0,28,0,0,1073,596.6294919454771,0.10952380952380952,0.04047619047619048,0.20714285714285716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0339359352195165,0.22083766008999628,0.501004016064257
EMP-00041,Employee 0041,2023-03-13 00:00:00+00:00,120426,71.54,EMP-00010,1,2023,3,1,0,13,0,0,1241,1683.337992731339,0.11428571428571428,0.2261904761904762,0.1976190476190476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4922649749597651,-0.41329179646936626,0.8383534136546185
EMP-00042,Employee 0042,2023-02-01 00:00:00+00:00,136422,69.86,EMP-00007,1,2023,2,1,2,1,1,0,1281,1952.7912968794733,0.11428571428571428,0.07857142857142857,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.3723866069872841,-0.5295950155763242,0.9186746987951807
EMP-00043,Employee 0043,2024-12-14 00:00:00+00:00,219623,89.33,EMP-00009,1,2024,12,4,5,14,0,0,599,2458.558155155043,0.1357142857142857,0.30238095238095236,0.20714285714285716,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2511442815897598,0.8182762201453782,-0.4508032128514056
EMP-00044,Employee 0044,2023-02-25 00:00:00+00:00,175394,90.46,EMP-00012,1,2023,2,1,5,25,0,0,1257,1938.9122263984082,0.1357142857142857,0.15,0.20714285714285716,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.08031985551044421,0.8965039806161289,0.8704819277108434
EMP-00045,Employee 0045,2025-05-28 00:00:00+00:00,87661,80.7,EMP-00006,1,2025,5,2,2,28,0,0,434,1086.2577447335811,0.1380952380952381,0.30238095238095236,0.1976190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7378147828253778,0.22083766008999628,-0.7821285140562249
EMP-00046,Employee 0046,2023-08-08 00:00:00+00:00,278949,80.69,EMP-00005,1,2023,8,3,1,8,0,0,1093,3457.0454827116123,0.1357142857142857,0.30238095238095236,0.22857142857142856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6957494365244566,0.22014537902388306,0.5411646586345381
EMP-00047,Employee 0047,2024-05-30 00:00:00+00:00,147957,80.35,EMP-00014,1,2024,5,2,3,30,0,0,797,1841.406347230865,0.10952380952380952,0.15,0.19285714285714287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.2859401844714946,0.19660782277604621,-0.05321285140562249
EMP-00048,Employee 0048,2025-05-27 00:00:00+00:00,53418,91.18,EMP-00009,1,2025,5,2,1,27,0,0,435,585.8521605615266,0.13095238095238096,0.30238095238095236,0.20714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9944411240657922,0.9463482173762544,-0.7801204819277109
EMP-00049,Employee 0049,2023-07-14 00:00:00+00:00,269513,86.32,EMP-00008,1,2023,7,3,4,14,0,0,1118,3122.254402224282,0.1380952380952381,0.20238095238095238,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6250334900260613,0.6098996192454125,0.5913654618473896
EMP-00050,Employee 0050,2023-04-16 00:00:00+00:00,252465,73.26,EMP-00011,1,2023,4,2,6,16,0,0,1207,3446.1506961506957,0.11428571428571428,0.20238095238095238,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.49727114836596775,-0.2942194530979576,0.7700803212851406
EMP-00051,Employee 0051,2024-01-22 00:00:00+00:00,304535,83.6,EMP-00001,1,2024,1,1,0,22,0,0,926,3642.763157894737,0.12142857142857143,0.2261904761904762,0.1976190476190476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8874978688165234,0.4215991692627197,0.20582329317269077
EMP-00052,Employee 0052,2025-04-05 00:00:00+00:00,301338,60.59,EMP-00013,1,2025,4,2,5,5,0,0,487,4973.39494966166,0.12142857142857143,0.2261904761904762,0.19285714285714287,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8635386826194728,-1.1713395638629278,-0.6757028112449799
EMP-00053,Employee 0053,2023-09-24 00:00:00+00:00,155505,71.21,EMP-00013,1,2023,9,3,6,24,0,0,1046,2183.7522819828678,0.1357142857142857,0.07857142857142857,0.22857142857142856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2293734226900313,-0.4361370716510909,0.4467871485943775
EMP-00054,Employee 0054,2024-04-02 00:00:00+00:00,304113,58.76,EMP-00002,1,2024,4,2,1,2,0,0,855,5175.510551395508,0.11428571428571428,0.15,0.1738095238095238,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.884335286215599,-1.2980269989615782,0.06325301204819277
EMP-00055,Employee 0055,2024-10-10 00:00:00+00:00,261293,68.58,EMP-00005,1,2024,10,4,3,10,0,0,664,3810.0466608340625,0.1357142857142857,0.2261904761904762,0.22857142857142856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5634305777521307,-0.6182069920387679,-0.32028112449799195
EMP-00056,Employee 0056,2024-10-07 00:00:00+00:00,109244,69.6,EMP-00010,1,2024,10,4,0,7,0,0,667,1569.5977011494253,0.12142857142857143,0.2261904761904762,0.1976190476190476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.576065919612696,-0.5475943232952584,-0.3142570281124498
EMP-00057,Employee 0057,2025-04-15 00:00:00+00:00,234552,55.09,EMP-00013,1,2025,4,2,1,15,0,0,477,4257.614812125612,0.1357142857142857,0.30238095238095236,0.1976190476190476,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.36302626180113573,-1.5520941502249908,-0.6957831325301205
EMP-00058,Employee 0058,2023-05-24 00:00:00+00:00,215943,90.9,EMP-00001,1,2023,5,2,2,24,0,0,1169,2375.6105610561053,0.13095238095238096,0.30238095238095236,0.20714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22356536222624832,0.9269643475250947,0.6937751004016064
EMP-00059,Employee 0059,2025-08-29 00:00:00+00:00,121751,72.4,EMP-00003,1,2025,8,3,4,29,0,0,341,1681.6436464088397,0.12142857142857143,0.15,0.19285714285714287,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.48233506513458774,-0.35375562478366196,-0.9688755020080321
EMP-00060,Employee 0060,2025-03-05 00:00:00+00:00,177663,74.45,EMP-00008,1,2025,3,1,2,5,0,0,518,2386.339825386165,0.1357142857142857,0.30238095238095236,0.22857142857142856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.06331535332680083,-0.21183800623052965,-0.6134538152610441
EMP-00061,Employee 0061,2025-09-03 00:00:00+00:00,108975,68.53,EMP-00002,1,2025,9,3,2,3,0,0,336,1590.1794834379104,0.1357142857142857,0.30238095238095236,0.1976190476190476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5780818786639962,-0.6216683973693319,-0.9789156626506024
EMP-00062,Employee 0062,2023-03-31 00:00:00+00:00,215598,84.22,EMP-00006,1,2023,3,1,4,31,0,1,1223,2559.9382569460936,0.11428571428571428,0.07857142857142857,0.20714285714285716,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2209798385359191,0.4645205953617162,0.8022088353413654
EMP-00063,Employee 0063,2025-02-09 00:00:00+00:00,180359,93.19,EMP-00008,1,2025,2,1,6,9,0,0,542,1935.3900633115143,0.1380952380952381,0.15,0.19285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.04311079718440217,1.085496711664935,-0.5652610441767069
EMP-00064,Employee 0064,2024-06-07 00:00:00+00:00,196638,83.75,EMP-00013,1,2024,6,2,4,7,0,0,789,2347.9164179104478,0.1357142857142857,0.2261904761904762,0.22857142857142856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07888844964130542,0.4319833852544127,-0.06927710843373494
EMP-00065,Employee 0065,2025-03-03 00:00:00+00:00,226228,81.83,EMP-00004,1,2025,3,1,0,3,0,0,520,2764.6095563974095,0.1357142857142857,0.2261904761904762,0.19285714285714287,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3006439452843233,0.29906542056074703,-0.6094377510040161
EMP-00066,Employee 0066,2023-04-14 00:00:00+00:00,294059,56.28,EMP-00011,1,2023,4,2,4,14,0,0,1209,5224.928926794599,0.10952380952380952,0.30238095238095236,0.20714285714285716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8089878798893096,-1.4697127033575628,0.7740963855421686
